event_id,imsi,partner_mcc_mnc,partner_name,timestamp,service_group,usage_volume,uom,sdr_rate,switch_id,tap_file_id,utc_offset,charge_sdr,billed_revenue_idr,tax_amount_idr,total_invoice_idr
743325ce-22d5-40e4-bf72-61eb25ed647a,51011178623,454-00,CSL,2025-01-04 00:07:00,Data,473.063119520603,MB,0.05,MSC-JKT-2,TAP3_ID_20250104_45400,700,23.65315597603015,502369.37977490434,0.0,502369.37977490434
c6e3a082-ca70-45b9-961a-fa496a249d53,51011584137,454-00,CSL,2025-01-01 20:38:00,Voice,72.0,SEC,0.15,MSC-JKT-1,TAP3_ID_20250101_45400,700,10.8,229381.2,0.0,229381.2
4c624ce9-d587-45ed-9881-c42bb46c6f1a,51011582604,454-00,CSL,2025-01-17 01:23:00,SMS,1.0,MSG,0.05,MSC-JKT-3,TAP3_ID_20250117_45400,700,0.05,1061.95,0.0,1061.95
67879d0b-c0cf-403e-94d2-e4b9160c0804,51011633676,204-04,Vodafone,2025-01-03 01:51:00,Voice,222.0,SEC,0.15,MSC-JKT-4,TAP3_ID_20250103_20404,700,33.3,707258.7,148524.327,855783.027
510d5291-5612-43ab-9116-46311b3aa2e8,51011612438,502-12,Maxis,2025-01-28 02:47:00,Data,167.90763208135655,MB,0.05,MSC-JKT-1,TAP3_ID_20250128_50212,700,8.395381604067827,178309.50988879657,10698.570593327793,189008.08048212435
32abe051-c9e5-43f0-a12d-12146709157b,51011100801,525-01,Singtel,2025-01-25 02:08:00,Data,400.0963089310361,MB,0.05,MSC-JKT-3,TAP3_ID_20250125_52501,700,20.00481544655181,424882.2752693139,29741.759268851976,454624.03453816584
4471d3b0-990e-45e1-a9bc-a3eedee579ae,51011474226,502-12,Maxis,2025-01-18 16:11:00,Data,453.6993443399522,MB,0.05,MSC-JKT-4,TAP3_ID_20250118_50212,700,22.684967216997613,481806.0187218123,28908.361123308736,510714.379845121
c9b02c09-b6c3-415a-8a0d-a4b86767bc98,51011766627,204-04,Vodafone,2025-01-29 15:16:00,Data,272.4460625295216,MB,0.05,MSC-JKT-2,TAP3_ID_20250129_20404,700,13.622303126476082,289324.0961032255,60758.06018167735,350082.1562849028
501f0342-d69a-4b85-a265-b4b5ddbddfea,51011750660,310-410,AT&T,2025-01-24 10:16:00,Voice,3.0,SEC,0.15,MSC-JKT-2,TAP3_ID_20250124_310410,700,0.4499999999999999,9557.549999999997,955.7549999999998,10513.304999999997
a8ba4d9c-da36-4964-acab-b4ca67cf8dde,51011429586,204-04,Vodafone,2025-01-29 05:00:00,Voice,385.0,SEC,0.15,MSC-JKT-4,TAP3_ID_20250129_20404,700,57.75,1226552.25,257575.9725,1484128.2225
a753ad43-b4ee-4403-aff9-9afb2a5e6964,51011890388,454-00,CSL,2025-01-08 14:09:00,Voice,176.0,SEC,0.15,MSC-JKT-2,TAP3_ID_20250108_45400,700,26.4,560709.6,0.0,560709.6
d9703f9b-f32a-46e2-9aa9-96e9167663bb,51011565448,454-00,CSL,2025-01-25 04:40:00,Voice,320.0,SEC,0.15,MSC-JKT-3,TAP3_ID_20250125_45400,700,48.0,1019472.0,0.0,1019472.0
45b21a6c-6d63-4ef6-9fd3-6c05935b8af3,51011494655,204-04,Vodafone,2025-01-22 06:16:00,Data,279.16005196480256,MB,0.05,MSC-JKT-3,TAP3_ID_20250122_20404,700,13.958002598240128,296454.01718402206,62255.34360864463,358709.3607926667
f5a00e41-d3eb-41f1-a5b9-7fd3faa509a3,51011669385,502-12,Maxis,2025-01-30 08:18:00,Data,323.333982172855,MB,0.05,MSC-JKT-4,TAP3_ID_20250130_50212,700,16.16669910864275,343364.52236846334,20601.8713421078,363966.3937105711
9c01b6e2-0e63-4b89-9fe0-7933bd970b4a,51011933410,525-01,Singtel,2025-01-04 21:37:00,Data,330.97300618354114,MB,0.05,MSC-JKT-1,TAP3_ID_20250104_52501,700,16.54865030917706,351476.7839166116,24603.37487416281,376080.1587907744
aa04dade-8415-4de6-b1af-e2c74337588e,51011886166,310-410,AT&T,2025-01-10 15:06:00,SMS,1.0,MSG,0.05,MSC-JKT-1,TAP3_ID_20250110_310410,700,0.05,1061.95,106.19500000000001,1168.145
abf0f438-510e-424d-b585-d3074eb09b3d,51011776355,502-12,Maxis,2025-01-10 21:58:00,Data,50.1116378865626,MB,0.05,MSC-JKT-1,TAP3_ID_20250110_50212,700,2.50558189432813,53216.05385363515,3192.963231218109,56409.01708485326
fa129f64-70a0-4cf8-a747-edb13ac5ec02,51011162699,204-04,Vodafone,2025-01-17 12:00:00,Voice,79.0,SEC,0.15,MSC-JKT-2,TAP3_ID_20250117_20404,700,11.85,251682.15,52853.2515,304535.4015
6b319664-8e12-4ddb-8c9f-da99b052b21a,51011557828,454-00,CSL,2025-01-22 10:14:00,SMS,1.0,MSG,0.05,MSC-JKT-4,TAP3_ID_20250122_45400,700,0.05,1061.95,0.0,1061.95
6a6c84a3-faca-42b8-a70c-2bce77f81b7e,51011688041,310-410,AT&T,2025-01-29 05:14:00,Data,181.8208772388964,MB,0.05,MSC-JKT-2,TAP3_ID_20250129_310410,700,9.09104386194482,193084.68058384603,19308.468058384602,212393.14864223063
0383b72d-76ca-4655-8a2c-0c92f4bdd0bf,51011122838,310-410,AT&T,2025-01-09 13:54:00,Data,33.692065619111645,MB,0.05,MSC-JKT-1,TAP3_ID_20250109_310410,700,1.6846032809555824,35779.28908421561,3577.9289084215616,39357.217992637175
52a3b98a-812e-4ebf-b664-ac86643a6a89,51011719961,454-00,CSL,2025-01-02 22:29:00,Data,290.27945585766565,MB,0.05,MSC-JKT-4,TAP3_ID_20250102_45400,700,14.513972792883283,308262.2681480481,0.0,308262.2681480481
32445de1-7fea-4584-a12a-0d1ccf9567aa,51011960927,310-410,AT&T,2025-01-29 08:03:00,Data,349.0654661470605,MB,0.05,MSC-JKT-2,TAP3_ID_20250129_310410,700,17.453273307353026,370690.0717748709,37069.007177487096,407759.078952358
16b29b44-a84c-4e8d-b59d-511bac3998a0,51011762213,502-12,Maxis,2025-01-10 07:20:00,Data,89.9105172218393,MB,0.05,MSC-JKT-2,TAP3_ID_20250110_50212,700,4.4955258610919655,95480.47376373225,5728.828425823935,101209.30218955618
6a2e8a97-2c3d-443e-8637-72e93845ecd7,51011237244,502-12,Maxis,2025-01-24 08:40:00,Data,218.8578017152904,MB,0.05,MSC-JKT-1,TAP3_ID_20250124_50212,700,10.94289008576452,232416.04253155264,13944.962551893157,246361.0050834458
fdd254ae-2263-4bcf-b16d-c14d2abfe587,51011123525,525-01,Singtel,2025-01-18 19:57:00,Voice,313.0,SEC,0.15,MSC-JKT-1,TAP3_ID_20250118_52501,700,46.95,997171.05,69801.97350000001,1066973.0235000001
94fd6e66-bf67-46df-868a-7e291aeb4078,51011803526,204-04,Vodafone,2025-01-09 17:48:00,SMS,1.0,MSG,0.05,MSC-JKT-1,TAP3_ID_20250109_20404,700,0.05,1061.95,223.0095,1284.9595
cc93c52b-36da-4e64-be5d-e7ec0031a497,51011818960,502-12,Maxis,2025-01-27 21:43:00,Data,498.4249572122918,MB,0.05,MSC-JKT-2,TAP3_ID_20250127_50212,700,24.921247860614592,529302.3833115933,31758.1429986956,561060.5263102889
832b2ff8-40a3-49db-a66d-dd3b33e26a09,51011729974,502-12,Maxis,2025-01-07 13:57:00,Data,467.3714847526017,MB,0.05,MSC-JKT-1,TAP3_ID_20250107_50212,700,23.368574237630085,496325.1482330254,29779.50889398152,526104.6571270069
1c7dd392-d775-4708-b2a4-b6ff98b1240b,51011534352,310-410,AT&T,2025-01-30 11:52:00,Voice,436.0,SEC,0.15,MSC-JKT-3,TAP3_ID_20250130_310410,700,65.39999999999999,1389030.5999999999,138903.06,1527933.66
e39cc645-77a2-44c4-b174-9787f4f4ab91,51011203088,204-04,Vodafone,2025-01-06 08:54:00,Voice,592.0,SEC,0.15,MSC-JKT-2,TAP3_ID_20250106_20404,700,88.8,1886023.2,396064.872,2282088.0719999997
9d7f5633-c447-42d0-aa01-f49cf426e125,51011887738,525-01,Singtel,2025-01-30 20:33:00,Data,186.6925812499332,MB,0.05,MSC-JKT-2,TAP3_ID_20250130_52501,700,9.334629062496658,198258.18665836653,13878.073066085659,212136.2597244522
