event_id,imsi,partner_mcc_mnc,partner_name,timestamp,service_group,usage_volume,uom,sdr_rate,switch_id,estimated_revenue_idr
15327e70-a28e-4fde-bce4-f6cde5f90103,51011237337,204-04,Vodafone,2025-01-29 14:42:00,Data,298.46539395744884,MB,0.05,MSC-JKT-3,316955.3251131128
2c0ccec5-eb88-4978-80b6-7e96204d9c18,51011429365,454-00,CSL,2025-01-11 20:35:00,Voice,131.0,SEC,0.15,MSC-JKT-1,417346.35
8053d7c1-3d55-4f52-aa06-2160053d305a,51011203355,525-01,Singtel,2025-01-24 11:29:00,Voice,192.0,SEC,0.15,MSC-JKT-1,611683.2
4b4d846e-180c-405d-9bbe-3b8550cafab2,51011256730,502-12,Maxis,2025-01-12 21:43:00,Voice,475.0,SEC,0.15,MSC-JKT-3,1513278.75
dbadc20f-ab7f-4e19-b57e-f2763ff1cab4,51011691723,525-01,Singtel,2025-01-28 15:14:00,Data,392.6094631003675,MB,0.05,MSC-JKT-3,416931.61933943536
ab56a45b-977e-4dee-9216-75ee0f320b40,51011573254,204-04,Vodafone,2025-01-25 02:36:00,Data,85.34500943127702,MB,0.05,MSC-JKT-2,90632.13276554462
8b35b8f7-5664-426f-b49c-95e03faaa086,51011877089,204-04,Vodafone,2025-01-25 13:49:00,Data,8.081529484885076,MB,0.05,MSC-JKT-4,8582.180236473707
3da0dcb9-d66f-4292-a08e-a18a35ad9590,51011704365,204-04,Vodafone,2025-01-15 06:43:00,Data,17.290821705497677,MB,0.05,MSC-JKT-1,18361.98811015326
54c14330-612f-40a2-bb8d-0ac670532a10,51011441097,204-04,Vodafone,2025-01-18 07:03:00,Data,260.08200378678765,MB,0.05,MSC-JKT-4,276194.0839213791
69b5891b-1e55-477f-bce9-b6353e71b382,51011635822,310-410,AT&T,2025-01-18 11:33:00,Data,463.3367670103177,MB,0.05,MSC-JKT-4,492040.479726607
42246c03-fd65-4b2f-95fb-96190838bd0d,51011633556,204-04,Vodafone,2025-01-25 07:20:00,Data,135.74738098377054,MB,0.05,MSC-JKT-4,144156.93123571514
bafca6fd-9c97-4940-ba0a-e38f5ab056b5,51011148984,525-01,Singtel,2025-01-25 12:40:00,Voice,65.0,SEC,0.15,MSC-JKT-3,207080.25
9516f128-95de-4631-9351-232c3686400b,51011236330,502-12,Maxis,2025-01-24 00:43:00,Voice,63.0,SEC,0.15,MSC-JKT-3,200708.55
1b01423d-4848-4ab7-ae41-c7fa9411756b,51011388998,502-12,Maxis,2025-01-08 02:34:00,Data,37.11492140187177,MB,0.05,MSC-JKT-2,39414.19078271773
bd5dcb38-2a3f-474e-a1c9-2f91fdf751cd,51011451279,502-12,Maxis,2025-01-28 06:08:00,Data,165.51592262383932,MB,0.05,MSC-JKT-3,175769.63403038617
c30a93d3-cc9f-441e-b619-5ea4abe93b9e,51011301664,310-410,AT&T,2025-01-03 11:39:00,Voice,547.0,SEC,0.15,MSC-JKT-3,1742659.95
e6d42150-b8aa-448f-8090-f2a8bc12e823,51011997421,310-410,AT&T,2025-01-15 13:02:00,Data,280.6824710649912,MB,0.05,MSC-JKT-3,298070.7501474674
24da883b-a424-49c1-84e9-e3dfce311359,51011353618,454-00,CSL,2025-01-09 14:14:00,Voice,461.0,SEC,0.15,MSC-JKT-3,1468676.8499999999
e744c53d-ecaa-40a2-98e8-acea0be9e6d2,51011298286,502-12,Maxis,2025-01-20 03:29:00,Voice,231.0,SEC,0.15,MSC-JKT-3,735931.35
dae1d011-c45d-4591-a0f0-9d4d275aa4db,51011515515,310-410,AT&T,2025-01-04 12:31:00,Data,347.4229880265483,MB,0.05,MSC-JKT-2,368945.84213479294
64637d8c-68a5-4331-a954-2d1f9fa24b5f,51011125939,525-01,Singtel,2025-01-13 20:05:00,Data,109.29837456469512,MB,0.05,MSC-JKT-2,116069.408868978
4adca69e-f588-44eb-a98f-a36a16b83a39,51011785440,454-00,CSL,2025-01-26 22:27:00,Data,453.42353792872245,MB,0.05,MSC-JKT-1,481513.12610340683
cbf388d8-c74f-44ea-8227-3802b4ff96e6,51011121959,454-00,CSL,2025-01-30 19:12:00,Data,3.5753700525422327,MB,0.05,MSC-JKT-3,3796.8642272972243
f7b54dd5-f502-46c3-9f43-48c929852b32,51011161087,502-12,Maxis,2025-01-30 04:32:00,Voice,374.0,SEC,0.15,MSC-JKT-4,1191507.9000000001
2f9c0148-1cdf-4914-93d4-1c80b685e257,51011414877,502-12,Maxis,2025-01-20 16:48:00,Voice,268.0,SEC,0.15,MSC-JKT-3,853807.7999999999
8b3a0177-def8-4e1d-8c08-dc972d8dcf1a,51011870746,525-01,Singtel,2025-01-03 16:36:00,Voice,81.0,SEC,0.15,MSC-JKT-1,258053.85
b027bc40-bb1e-4a92-a8be-4dd59eb39a05,51011417824,525-01,Singtel,2025-01-02 21:22:00,Voice,225.0,SEC,0.15,MSC-JKT-3,716816.25
40f0a282-cac7-48e4-b079-9301bdfdb742,51011580671,525-01,Singtel,2025-01-21 11:25:00,SMS,1.0,MSG,0.05,MSC-JKT-3,1061.95
8f0893d5-86d5-4039-ad87-0a8ca97df262,51011561079,204-04,Vodafone,2025-01-23 10:55:00,Voice,294.0,SEC,0.15,MSC-JKT-1,936639.9
9166c0d7-51c1-4749-afc7-da530c442c11,51011518400,204-04,Vodafone,2025-01-02 05:21:00,Data,45.23585605019871,MB,0.05,MSC-JKT-1,48038.217332508524
1e413c68-2a12-4ac4-ba40-67a80db8e67b,51011659042,204-04,Vodafone,2025-01-27 05:15:00,Voice,403.0,SEC,0.15,MSC-JKT-3,1283897.5499999998
ddd72f16-db5a-41d9-bf8b-187dc61eb12e,51011577095,454-00,CSL,2025-01-20 06:51:00,SMS,1.0,MSG,0.05,MSC-JKT-4,1061.95
8938cedb-a01a-436e-b731-26eb5b3d02ff,51011671542,525-01,Singtel,2025-01-08 00:10:00,Data,56.82541326817047,MB,0.05,MSC-JKT-3,60345.74762013364
6da327f0-d3aa-4560-b560-9d03fde1d2c9,51011570587,525-01,Singtel,2025-01-03 06:15:00,Data,277.64488571857123,MB,0.05,MSC-JKT-1,294844.98638883675
d0ada1e6-ed4d-4401-b121-5e1441e858fd,51011798376,525-01,Singtel,2025-01-01 15:11:00,Data,441.3299079603509,MB,0.05,MSC-JKT-1,468670.2957584947
3eafa8de-76ef-4fc9-9cfe-68fbda89efe2,51011488215,454-00,CSL,2025-01-19 15:15:00,Data,443.55450349013216,MB,0.05,MSC-JKT-1,471032.70498134586
247ba013-f4bc-4710-94c3-c3c287c3f014,51011616349,204-04,Vodafone,2025-01-11 16:07:00,Data,334.5272285316429,MB,0.05,MSC-JKT-3,355251.1903391782
487890ef-47be-4557-9b52-a41657b9b4e3,51011554351,502-12,Maxis,2025-01-03 17:45:00,Data,345.9784093265774,MB,0.05,MSC-JKT-1,367411.77178435883
17c1e5cf-db11-483a-8691-c19029344458,51011580047,502-12,Maxis,2025-01-04 00:03:00,Voice,277.0,SEC,0.15,MSC-JKT-4,882480.45
7d0d8d7e-a985-4c23-a6c7-49d9e30ab6a9,51011381974,454-00,CSL,2025-01-17 00:47:00,Voice,470.0,SEC,0.15,MSC-JKT-2,1497349.5
0bfc1ee6-a741-4d7a-b263-118a04caa731,51011940477,310-410,AT&T,2025-01-19 21:07:00,Data,397.4261706404701,MB,0.05,MSC-JKT-1,422046.72191164724
6c592b77-cb68-4418-b360-df425021ca92,51011727234,204-04,Vodafone,2025-01-15 00:04:00,Voice,516.0,SEC,0.15,MSC-JKT-4,1643898.5999999999
fb92a616-cb5e-4628-9b19-26b5eb54e834,51011929957,502-12,Maxis,2025-01-17 11:27:00,Data,139.8522148641996,MB,0.05,MSC-JKT-3,148516.05957503675
5fd552a4-9936-42e7-ac06-f0370f2b0012,51011215294,204-04,Vodafone,2025-01-09 04:23:00,Data,276.42720692106144,MB,0.05,MSC-JKT-3,293551.8723898212
5355bd60-eb41-4297-b95e-ceb0ba03f7fa,51011218015,204-04,Vodafone,2025-01-01 19:20:00,Voice,161.0,SEC,0.15,MSC-JKT-3,512921.85
79b36684-121e-4598-80cb-ad52727da3d3,51011545101,525-01,Singtel,2025-01-25 09:30:00,Data,465.01541572193486,MB,0.05,MSC-JKT-4,493823.1207259087
f4f2a38c-0883-4e99-9a9f-a74a469f6245,51011635017,525-01,Singtel,2025-01-15 21:22:00,Voice,155.0,SEC,0.15,MSC-JKT-2,493806.75
3a89c271-172e-4d3a-a6c4-373b69dbc82d,51011598863,525-01,Singtel,2025-01-17 07:32:00,Voice,246.0,SEC,0.15,MSC-JKT-3,783719.1
17a060c3-2751-4f90-aba5-d9f44d96e602,51011764076,310-410,AT&T,2025-01-10 22:25:00,Data,433.5494520581938,MB,0.05,MSC-JKT-4,460407.84061319893
968d30f2-f546-4c18-9da4-21ac532c9443,51011337549,525-01,Singtel,2025-01-07 03:44:00,Voice,512.0,SEC,0.15,MSC-JKT-4,1631155.2
f0e11aa2-8971-404b-a6dd-befc396e2600,51011766326,204-04,Vodafone,2025-01-19 22:14:00,Data,47.08157172645041,MB,0.05,MSC-JKT-3,49998.27509490401
e6a0a739-c9a3-436a-b847-de9a52021787,51011170313,454-00,CSL,2025-01-25 21:57:00,Data,125.20065512188044,MB,0.05,MSC-JKT-2,132956.83570668095
290fe322-6625-43df-9621-d499f8e57589,51011804107,454-00,CSL,2025-01-28 04:32:00,Data,135.84430361828896,MB,0.05,MSC-JKT-1,144259.85822744196
e88a4537-6b99-42fb-bfa8-eb503b86a9f2,51011827975,204-04,Vodafone,2025-01-06 12:31:00,Data,270.36349729289225,MB,0.05,MSC-JKT-4,287112.51595018693
15c258a6-1727-4b79-9472-26f7a0a39a1f,51011444894,310-410,AT&T,2025-01-18 09:29:00,Voice,120.0,SEC,0.15,MSC-JKT-3,382302.0
057620b7-0401-4610-b074-0e3201e3dc2d,51011368093,204-04,Vodafone,2025-01-26 22:25:00,Voice,117.0,SEC,0.15,MSC-JKT-3,372744.45
