event_id,imsi,partner_mcc_mnc,partner_name,timestamp,service_group,usage_volume,uom,sdr_rate,switch_id,estimated_revenue_idr,tap_file_id,billed_revenue_idr,total_invoice_idr,status,leakage_amount_idr
15327e70-a28e-4fde-bce4-f6cde5f90103,51011237337,204-04,Vodafone,2025-01-29 14:42:00,Data,298.46539395744884,MB,0.05,MSC-JKT-3,316955.3251131128,TAP3_ID_20250129_20404,316955.3251131128,383515.9433868665,BILLED,0.0
2c0ccec5-eb88-4978-80b6-7e96204d9c18,51011429365,454-00,CSL,2025-01-11 20:35:00,Voice,131.0,SEC,0.15,MSC-JKT-1,417346.35,TAP3_ID_20250111_45400,417346.35,417346.35,BILLED,0.0
8053d7c1-3d55-4f52-aa06-2160053d305a,51011203355,525-01,Singtel,2025-01-24 11:29:00,Voice,192.0,SEC,0.15,MSC-JKT-1,611683.2,TAP3_ID_20250124_52501,611683.2000000001,654501.0240000001,BILLED,0.0
4b4d846e-180c-405d-9bbe-3b8550cafab2,51011256730,502-12,Maxis,2025-01-12 21:43:00,Voice,475.0,SEC,0.15,MSC-JKT-3,1513278.75,TAP3_ID_20250112_50212,1513278.75,1604075.475,BILLED,0.0
dbadc20f-ab7f-4e19-b57e-f2763ff1cab4,51011691723,525-01,Singtel,2025-01-28 15:14:00,Data,392.6094631003675,MB,0.05,MSC-JKT-3,416931.61933943536,TAP3_ID_20250128_52501,416931.61933943536,446116.83269319584,BILLED,0.0
ab56a45b-977e-4dee-9216-75ee0f320b40,51011573254,204-04,Vodafone,2025-01-25 02:36:00,Data,85.34500943127702,MB,0.05,MSC-JKT-2,90632.13276554462,TAP3_ID_20250125_20404,90632.13276554462,109664.880646309,BILLED,0.0
8b35b8f7-5664-426f-b49c-95e03faaa086,51011877089,204-04,Vodafone,2025-01-25 13:49:00,Data,8.081529484885076,MB,0.05,MSC-JKT-4,8582.180236473707,TAP3_ID_20250125_20404,8582.180236473707,10384.438086133185,BILLED,0.0
3da0dcb9-d66f-4292-a08e-a18a35ad9590,51011704365,204-04,Vodafone,2025-01-15 06:43:00,Data,17.290821705497677,MB,0.05,MSC-JKT-1,18361.98811015326,TAP3_ID_20250115_20404,18361.98811015326,22218.005613285444,BILLED,0.0
54c14330-612f-40a2-bb8d-0ac670532a10,51011441097,204-04,Vodafone,2025-01-18 07:03:00,Data,260.08200378678765,MB,0.05,MSC-JKT-4,276194.0839213791,TAP3_ID_20250118_20404,276194.0839213792,334194.8415448688,BILLED,0.0
69b5891b-1e55-477f-bce9-b6353e71b382,51011635822,310-410,AT&T,2025-01-18 11:33:00,Data,463.3367670103177,MB,0.05,MSC-JKT-4,492040.479726607,TAP3_ID_20250118_310410,492040.479726607,541244.5276992677,BILLED,0.0
42246c03-fd65-4b2f-95fb-96190838bd0d,51011633556,204-04,Vodafone,2025-01-25 07:20:00,Data,135.74738098377054,MB,0.05,MSC-JKT-4,144156.93123571514,TAP3_ID_20250125_20404,144156.93123571514,174429.8867952153,BILLED,0.0
bafca6fd-9c97-4940-ba0a-e38f5ab056b5,51011148984,525-01,Singtel,2025-01-25 12:40:00,Voice,65.0,SEC,0.15,MSC-JKT-3,207080.25,TAP3_ID_20250125_52501,207080.25,221575.8675,BILLED,0.0
9516f128-95de-4631-9351-232c3686400b,51011236330,502-12,Maxis,2025-01-24 00:43:00,Voice,63.0,SEC,0.15,MSC-JKT-3,200708.55,TAP3_ID_20250124_50212,200708.55,212751.063,BILLED,0.0
1b01423d-4848-4ab7-ae41-c7fa9411756b,51011388998,502-12,Maxis,2025-01-08 02:34:00,Data,37.11492140187177,MB,0.05,MSC-JKT-2,39414.19078271773,TAP3_ID_20250108_50212,39414.190782717735,41779.0422296808,BILLED,0.0
bd5dcb38-2a3f-474e-a1c9-2f91fdf751cd,51011451279,502-12,Maxis,2025-01-28 06:08:00,Data,165.51592262383932,MB,0.05,MSC-JKT-3,175769.63403038617,TAP3_ID_20250128_50212,175769.63403038617,186315.81207220932,BILLED,0.0
c30a93d3-cc9f-441e-b619-5ea4abe93b9e,51011301664,310-410,AT&T,2025-01-03 11:39:00,Voice,547.0,SEC,0.15,MSC-JKT-3,1742659.95,TAP3_ID_20250103_310410,1742659.95,1916925.945,BILLED,0.0
e6d42150-b8aa-448f-8090-f2a8bc12e823,51011997421,310-410,AT&T,2025-01-15 13:02:00,Data,280.6824710649912,MB,0.05,MSC-JKT-3,298070.7501474674,TAP3_ID_20250115_310410,298070.75014746736,327877.8251622141,BILLED,0.0
24da883b-a424-49c1-84e9-e3dfce311359,51011353618,454-00,CSL,2025-01-09 14:14:00,Voice,461.0,SEC,0.15,MSC-JKT-3,1468676.85,TAP3_ID_20250109_45400,1468676.85,1468676.85,BILLED,0.0
e744c53d-ecaa-40a2-98e8-acea0be9e6d2,51011298286,502-12,Maxis,2025-01-20 03:29:00,Voice,231.0,SEC,0.15,MSC-JKT-3,735931.35,TAP3_ID_20250120_50212,735931.35,780087.2309999999,BILLED,0.0
dae1d011-c45d-4591-a0f0-9d4d275aa4db,51011515515,310-410,AT&T,2025-01-04 12:31:00,Data,347.4229880265483,MB,0.05,MSC-JKT-2,368945.84213479294,TAP3_ID_20250104_310410,368945.84213479294,405840.42634827225,BILLED,0.0
64637d8c-68a5-4331-a954-2d1f9fa24b5f,51011125939,525-01,Singtel,2025-01-13 20:05:00,Data,109.29837456469512,MB,0.05,MSC-JKT-2,116069.408868978,TAP3_ID_20250113_52501,116069.408868978,124194.26748980644,BILLED,0.0
4adca69e-f588-44eb-a98f-a36a16b83a39,51011785440,454-00,CSL,2025-01-26 22:27:00,Data,453.42353792872245,MB,0.05,MSC-JKT-1,481513.1261034068,TAP3_ID_20250126_45400,481513.1261034068,481513.1261034068,BILLED,0.0
cbf388d8-c74f-44ea-8227-3802b4ff96e6,51011121959,454-00,CSL,2025-01-30 19:12:00,Data,3.5753700525422327,MB,0.05,MSC-JKT-3,3796.864227297224,TAP3_ID_20250130_45400,3796.864227297224,3796.864227297224,BILLED,0.0
f7b54dd5-f502-46c3-9f43-48c929852b32,51011161087,502-12,Maxis,2025-01-30 04:32:00,Voice,374.0,SEC,0.15,MSC-JKT-4,1191507.9,TAP3_ID_20250130_50212,1191507.9,1262998.374,BILLED,0.0
2f9c0148-1cdf-4914-93d4-1c80b685e257,51011414877,502-12,Maxis,2025-01-20 16:48:00,Voice,268.0,SEC,0.15,MSC-JKT-3,853807.7999999999,TAP3_ID_20250120_50212,853807.8,905036.268,BILLED,0.0
8b3a0177-def8-4e1d-8c08-dc972d8dcf1a,51011870746,525-01,Singtel,2025-01-03 16:36:00,Voice,81.0,SEC,0.15,MSC-JKT-1,258053.85,TAP3_ID_20250103_52501,258053.85,276117.61950000003,BILLED,0.0
b027bc40-bb1e-4a92-a8be-4dd59eb39a05,51011417824,525-01,Singtel,2025-01-02 21:22:00,Voice,225.0,SEC,0.15,MSC-JKT-3,716816.25,TAP3_ID_20250102_52501,716816.25,766993.3875,BILLED,0.0
40f0a282-cac7-48e4-b079-9301bdfdb742,51011580671,525-01,Singtel,2025-01-21 11:25:00,SMS,1.0,MSG,0.05,MSC-JKT-3,1061.95,TAP3_ID_20250121_52501,1061.95,1136.2865000000002,BILLED,0.0
8f0893d5-86d5-4039-ad87-0a8ca97df262,51011561079,204-04,Vodafone,2025-01-23 10:55:00,Voice,294.0,SEC,0.15,MSC-JKT-1,936639.9,TAP3_ID_20250123_20404,936639.9,1133334.279,BILLED,0.0
9166c0d7-51c1-4749-afc7-da530c442c11,51011518400,204-04,Vodafone,2025-01-02 05:21:00,Data,45.23585605019871,MB,0.05,MSC-JKT-1,48038.21733250853,TAP3_ID_20250102_20404,48038.21733250853,58126.24297233533,BILLED,0.0
1e413c68-2a12-4ac4-ba40-67a80db8e67b,51011659042,204-04,Vodafone,2025-01-27 05:15:00,Voice,403.0,SEC,0.15,MSC-JKT-3,1283897.5499999998,TAP3_ID_20250127_20404,1283897.55,1553516.0355,BILLED,0.0
ddd72f16-db5a-41d9-bf8b-187dc61eb12e,51011577095,454-00,CSL,2025-01-20 06:51:00,SMS,1.0,MSG,0.05,MSC-JKT-4,1061.95,TAP3_ID_20250120_45400,1061.95,1061.95,BILLED,0.0
8938cedb-a01a-436e-b731-26eb5b3d02ff,51011671542,525-01,Singtel,2025-01-08 00:10:00,Data,56.82541326817047,MB,0.05,MSC-JKT-3,60345.74762013364,TAP3_ID_20250108_52501,60345.74762013364,64569.94995354299,BILLED,0.0
6da327f0-d3aa-4560-b560-9d03fde1d2c9,51011570587,525-01,Singtel,2025-01-03 06:15:00,Data,277.64488571857123,MB,0.05,MSC-JKT-1,294844.98638883675,TAP3_ID_20250103_52501,294844.98638883675,315484.1354360553,BILLED,0.0
d0ada1e6-ed4d-4401-b121-5e1441e858fd,51011798376,525-01,Singtel,2025-01-01 15:11:00,Data,441.3299079603509,MB,0.05,MSC-JKT-1,468670.2957584947,TAP3_ID_20250101_52501,468670.2957584947,501477.2164615893,BILLED,0.0
3eafa8de-76ef-4fc9-9cfe-68fbda89efe2,51011488215,454-00,CSL,2025-01-19 15:15:00,Data,443.55450349013216,MB,0.05,MSC-JKT-1,471032.70498134586,TAP3_ID_20250119_45400,471032.70498134586,471032.70498134586,BILLED,0.0
247ba013-f4bc-4710-94c3-c3c287c3f014,51011616349,204-04,Vodafone,2025-01-11 16:07:00,Data,334.5272285316429,MB,0.05,MSC-JKT-3,355251.1903391782,TAP3_ID_20250111_20404,355251.1903391782,429853.9403104056,BILLED,0.0
487890ef-47be-4557-9b52-a41657b9b4e3,51011554351,502-12,Maxis,2025-01-03 17:45:00,Data,345.9784093265774,MB,0.05,MSC-JKT-1,367411.7717843588,TAP3_ID_20250103_50212,367411.7717843588,389456.4780914204,BILLED,0.0
17c1e5cf-db11-483a-8691-c19029344458,51011580047,502-12,Maxis,2025-01-04 00:03:00,Voice,277.0,SEC,0.15,MSC-JKT-4,882480.45,TAP3_ID_20250104_50212,882480.45,935429.277,BILLED,0.0
7d0d8d7e-a985-4c23-a6c7-49d9e30ab6a9,51011381974,454-00,CSL,2025-01-17 00:47:00,Voice,470.0,SEC,0.15,MSC-JKT-2,1497349.5,TAP3_ID_20250117_45400,1497349.5,1497349.5,BILLED,0.0
0bfc1ee6-a741-4d7a-b263-118a04caa731,51011940477,310-410,AT&T,2025-01-19 21:07:00,Data,397.4261706404701,MB,0.05,MSC-JKT-1,422046.7219116472,TAP3_ID_20250119_310410,422046.7219116472,464251.394102812,BILLED,0.0
